what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902263558
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902268302
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400902276595
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902279366
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902282046
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400902285316
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902287198
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902305111
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400902330757
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902332910
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902335447
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400902348839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902351158
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902372967
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902376074
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1400902376090
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902386922
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400902398142
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902401166
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902403718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902414423
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902416687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400902432064
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902433479
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902542568
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400902546830
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902549775
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902569511
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1400902569717
opened,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1400902571453
activated,editor,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser.editor",1400902571473
opened,view,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui.TypeHierarchy",1400902574872
activated,view,org.eclipse.dltk.ui,2.0.0.v20100909-1720,"org.eclipse.dltk.ui.TypeHierarchy",1400902574887
activated,view,org.eclipse.php.ui,2.2.1.v20100822-1200,"org.eclipse.php.ui.explorer",1400902576722
opened,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1400902581023
activated,editor,org.eclipse.wst.html.ui,1.0.502.v201009010342,"org.eclipse.wst.html.core.htmlsource.source",1400902581043
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1400902595073
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1400902598247
